repository,created_at,updated_at,size,num_stars,num_forks
kailashahirwar/cheatsheets-ai,2017-05-24T12:06:56Z,2022-06-12T22:00:55Z,29960,14289,3424
microsoft/LightGBM,2016-08-05T05:45:50Z,2022-06-12T17:51:46Z,19541,13881,3553
ty4z2008/Qix,2014-04-20T11:03:15Z,2022-06-12T09:24:38Z,2237,13838,4733
TheAlgorithms/C,2016-07-16T10:17:03Z,2022-06-12T16:52:42Z,9891,13698,3491
emilwallner/Screenshot-to-code,2017-10-16T11:41:48Z,2022-06-11T23:32:21Z,51634,13686,1383
d2l-ai/d2l-en,2018-10-09T01:04:37Z,2022-06-12T16:24:43Z,273818,13651,3143
afshinea/stanford-cs-229-machine-learning,2018-08-04T23:01:00Z,2022-06-12T06:27:46Z,38339,13624,3338
huggingface/datasets,2020-03-26T09:23:22Z,2022-06-12T13:48:08Z,83075,13598,1720
microsoft/recommenders,2018-09-19T10:06:07Z,2022-06-12T14:35:01Z,207042,13352,2337
virgili0/Virgilio,2019-03-12T18:45:36Z,2022-06-12T08:15:07Z,33930,13296,2498
RaRe-Technologies/gensim,2011-02-10T07:43:04Z,2022-06-12T19:18:14Z,104755,13261,4227
keon/awesome-nlp,2015-12-01T11:11:33Z,2022-06-12T13:44:44Z,522,13261,2377
bharathgs/Awesome-pytorch-list,2017-03-01T16:58:16Z,2022-06-12T12:45:46Z,683,13096,2700
Unity-Technologies/ml-agents,2017-09-08T21:09:04Z,2022-06-12T20:30:12Z,2569303,12982,3459
ramitsurana/awesome-kubernetes,2015-10-15T12:14:48Z,2022-06-12T14:12:00Z,4633,12814,2051
aleju/imgaug,2015-07-10T20:31:33Z,2022-06-12T13:30:40Z,28618,12693,2307
onnx/onnx,2017-09-07T04:53:45Z,2022-06-12T21:26:35Z,22221,12685,2775
horovod/horovod,2017-08-09T19:39:59Z,2022-06-12T18:03:56Z,6678,12485,2068
tensorflow/tensor2tensor,2017-06-15T16:57:39Z,2022-06-12T10:29:45Z,16881,12351,3099
gunthercox/ChatterBot,2014-09-28T14:49:00Z,2022-06-12T12:17:12Z,4335,12313,4089
hindupuravinash/the-gan-zoo,2017-04-14T16:45:24Z,2022-06-12T16:59:17Z,2196,12252,2388
OpenBB-finance/OpenBBTerminal,2020-12-20T10:46:38Z,2022-06-12T21:50:02Z,548108,12167,1313
ujjwalkarn/Machine-Learning-Tutorials,2015-09-12T14:51:38Z,2022-06-11T18:32:33Z,9024,12089,3512
NLP-LOVE/ML-NLP,2019-07-05T12:49:53Z,2022-06-12T13:50:37Z,11965,12070,3969
mlflow/mlflow,2018-06-05T16:05:58Z,2022-06-12T21:27:52Z,78713,12012,2763
pytorch/vision,2016-11-09T23:11:43Z,2022-06-12T12:09:04Z,314600,11777,6000
EthicalML/awesome-production-machine-learning,2018-08-15T14:28:41Z,2022-06-12T14:45:49Z,1706,11710,1655
flairNLP/flair,2018-06-11T11:04:18Z,2022-06-12T20:30:08Z,7811,11691,1878
alex000kim/nsfw_data_scraper,2019-01-11T02:21:40Z,2022-06-11T13:51:18Z,8472,11650,2885
rasbt/python-machine-learning-book,2015-08-07T20:39:29Z,2022-06-12T11:53:15Z,159817,11586,4413
kubeflow/kubeflow,2017-11-30T18:44:19Z,2022-06-12T12:32:38Z,290400,11572,1933
microsoft/nni,2018-06-01T05:51:44Z,2022-06-12T15:47:03Z,122009,11569,1649
ddbourgin/numpy-ml,2019-04-06T22:29:49Z,2022-06-12T17:38:19Z,10514,11349,3162
davisking/dlib,2014-01-29T00:45:33Z,2022-06-12T20:44:27Z,25478,11193,3088
argoproj/argo-workflows,2017-08-21T18:50:44Z,2022-06-12T14:20:06Z,88978,11187,2275
halfrost/Halfrost-Field,2017-04-02T11:24:18Z,2022-06-12T07:13:35Z,105214,11156,1758
nltk/nltk,2009-09-07T10:53:58Z,2022-06-12T15:37:54Z,352126,10805,2613
ml-tooling/best-of-ml-python,2020-11-29T19:41:36Z,2022-06-12T20:52:04Z,8352,10744,1642
apple/turicreate,2017-12-01T00:42:04Z,2022-06-11T18:33:32Z,320718,10710,1133
donnemartin/awesome-aws,2015-10-12T12:02:47Z,2022-06-12T16:22:57Z,744,10411,1433
albumentations-team/albumentations,2018-06-06T03:10:50Z,2022-06-12T21:32:54Z,101858,10348,1338
janishar/mit-deep-learning-book-pdf,2017-04-07T10:46:50Z,2022-06-12T12:52:04Z,43565,10311,2335
chiphuyen/stanford-tensorflow-tutorials,2016-11-05T18:21:51Z,2022-06-12T01:30:19Z,14037,10171,4393
