repository,created_at,updated_at,size,num_stars,num_forks
tensorflow/lucid,2018-01-25T17:41:44Z,2022-06-11T09:59:11Z,148135,4401,626
okfn-brasil/serenata-de-amor,2016-06-27T20:55:11Z,2022-06-11T08:32:06Z,71013,4396,691
Spandan-Madan/DeepLearningProject,2017-07-12T16:03:24Z,2022-06-10T16:23:14Z,2519,4368,635
janhuenermann/neurojs,2016-09-18T23:33:53Z,2022-06-05T06:02:15Z,19502,4341,373
amusi/Deep-Learning-Interview-Book,2019-06-24T15:06:11Z,2022-06-12T15:09:01Z,2897,4306,962
flashlight/flashlight,2018-12-11T18:28:47Z,2022-06-10T20:12:13Z,15130,4285,413
FederatedAI/FATE,2019-01-24T10:32:43Z,2022-06-12T04:58:36Z,230092,4285,1287
MegEngine/MegEngine,2020-03-18T08:21:58Z,2022-06-12T06:35:09Z,24839,4262,484
paperswithcode/ai-deadlines,2016-11-18T23:11:12Z,2022-06-12T16:22:31Z,1194,4245,699
accord-net/framework,2012-04-08T13:35:01Z,2022-06-10T15:00:11Z,427584,4227,1932
lauragift21/awesome-learning-resources,2018-01-19T09:02:02Z,2022-06-12T20:23:27Z,646,4219,736
MorvanZhou/Tensorflow-Tutorial,2017-05-10T11:02:32Z,2022-06-11T14:14:02Z,38884,4197,1903
unit8co/darts,2018-09-13T15:17:28Z,2022-06-12T21:54:37Z,99637,4163,425
PipelineAI/pipeline,2015-07-08T03:49:23Z,2022-06-10T15:17:30Z,94805,4147,985
LibrePhotos/librephotos,2020-11-11T23:08:19Z,2022-06-12T20:42:03Z,80903,4141,170
NVIDIA/DIGITS,2015-03-17T16:00:20Z,2022-06-05T13:47:09Z,51154,4061,1413
lyst/lightfm,2015-07-30T08:34:00Z,2022-06-12T16:58:36Z,7860,4049,633
deepmind/learning-to-learn,2016-12-06T08:25:37Z,2022-06-12T10:05:58Z,90,4048,614
mlpack/mlpack,2014-12-17T18:16:59Z,2022-06-12T17:30:54Z,264647,4013,1430
jessevig/bertviz,2018-12-16T16:50:42Z,2022-06-12T20:20:11Z,203096,4006,596
OAID/Tengine,2017-12-30T01:21:41Z,2022-06-12T13:26:07Z,18220,3979,951
pytorch/ignite,2017-11-23T17:31:21Z,2022-06-12T08:45:35Z,50147,3976,547
rasbt/mlxtend,2014-08-14T01:56:16Z,2022-06-12T08:55:55Z,89223,3974,769
serengil/deepface,2020-02-08T20:42:28Z,2022-06-12T16:51:35Z,43562,3972,889
vespa-engine/vespa,2016-06-03T20:54:20Z,2022-06-09T14:31:49Z,203338,3955,475
wandb/client,2017-03-24T05:46:23Z,2022-06-12T19:36:54Z,55266,3955,321
vicky002/AlgoWiki,2014-11-27T11:17:13Z,2022-06-12T20:25:02Z,182552,3949,1116
shimat/opencvsharp,2013-12-21T00:27:48Z,2022-06-12T06:19:58Z,85611,3943,928
rasbt/pattern_classification,2014-03-30T05:34:34Z,2022-06-08T23:31:11Z,112921,3921,1287
HIT-SCIR/ltp,2011-06-01T15:10:15Z,2022-06-12T14:37:35Z,15815,3916,971
xviniette/FlappyLearning,2016-07-24T20:54:21Z,2022-06-10T00:09:31Z,11472,3903,484
NVIDIA/DALI,2018-06-01T22:18:01Z,2022-06-11T07:36:11Z,249568,3887,507
IDSIA/sacred,2014-03-31T18:05:29Z,2022-06-10T09:32:37Z,6118,3838,351
yahoo/TensorFlowOnSpark,2017-01-20T18:15:57Z,2022-06-10T15:17:33Z,9462,3796,963
xitu/tensorflow-docs,2018-03-08T09:39:54Z,2022-06-10T01:26:20Z,4785,3789,482
BoltzmannEntropy/interviews.ai,2021-09-30T17:04:46Z,2022-06-12T08:16:45Z,21998,3768,265
googlecreativelab/teachable-machine-v1,2017-10-03T15:04:27Z,2022-06-12T11:10:33Z,4084,3758,592
triton-inference-server/server,2018-10-04T21:10:30Z,2022-06-12T01:31:34Z,24829,3731,885
tensorflow/probability,2017-10-23T23:50:54Z,2022-06-12T15:56:14Z,147833,3716,992
FluxML/Flux.jl,2016-04-01T21:11:05Z,2022-06-12T20:37:50Z,6805,3710,530
arXivTimes/arXivTimes,2016-10-26T05:27:39Z,2022-06-10T10:59:07Z,875,3703,212
esimov/pigo,2018-05-14T07:19:03Z,2022-06-12T18:47:19Z,12879,3698,272
wzhe06/Ad-papers,2016-08-07T08:26:26Z,2022-06-10T14:03:37Z,199699,3691,1114
tensorflow/rust,2016-02-05T00:32:17Z,2022-06-12T19:00:42Z,21085,3683,330
zotroneneis/machine_learning_basics,2018-02-19T09:55:58Z,2022-06-11T16:06:57Z,11779,3681,737
aladdinpersson/Machine-Learning-Collection,2020-03-26T07:02:40Z,2022-06-12T15:24:13Z,98297,3674,1701
apachecn/hands-on-ml-zh,2018-04-08T09:19:49Z,2022-06-12T08:33:20Z,43569,3662,1543
snipsco/snips-nlu,2017-02-08T16:16:36Z,2022-06-11T11:18:35Z,20278,3658,500
dotnet/machinelearning-samples,2018-05-25T18:43:54Z,2022-06-09T18:12:14Z,2036178,3639,2379
DistrictDataLabs/yellowbrick,2016-05-18T14:12:17Z,2022-06-12T17:58:44Z,80673,3638,520
idealo/image-super-resolution,2018-11-26T13:41:13Z,2022-06-12T14:53:34Z,15314,3637,642
DLR-RM/stable-baselines3,2020-05-05T05:52:26Z,2022-06-12T13:45:08Z,3356,3620,817
aaronwangy/Data-Science-Cheatsheet,2021-02-05T06:01:57Z,2022-06-10T14:29:39Z,5613,3607,518
goq/telegram-list,2016-08-12T16:16:12Z,2022-06-11T05:00:23Z,2043,3594,730
JWarmenhoven/ISLR-python,2015-06-14T16:14:00Z,2022-06-12T06:20:54Z,22717,3579,2271
bentoml/BentoML,2019-04-02T01:39:27Z,2022-06-12T12:11:01Z,46692,3537,403
amusi/AI-Job-Notes,2019-02-11T11:37:17Z,2022-06-12T03:34:03Z,3148,3534,574
alirezadir/Production-Level-Deep-Learning,2019-11-19T20:11:21Z,2022-06-11T17:30:56Z,15567,3522,521
openvenues/libpostal,2015-03-03T00:21:31Z,2022-06-10T12:39:36Z,37737,3481,380
cleanlab/cleanlab,2018-05-11T01:55:21Z,2022-06-12T20:42:58Z,1183,3480,330
biolab/orange3,2013-02-22T12:52:56Z,2022-06-12T14:55:44Z,94660,3454,816
pixie-io/pixie,2020-02-27T00:22:45Z,2022-06-12T18:11:31Z,59574,3427,223
online-ml/river,2019-01-24T15:18:26Z,2022-06-12T08:24:41Z,198868,3424,381
andri27-ts/Reinforcement-Learning,2018-08-28T11:04:16Z,2022-06-09T02:07:45Z,10493,3417,487
Oneflow-Inc/oneflow,2017-02-11T06:09:53Z,2022-06-12T15:35:02Z,89564,3415,416
tensorflow/adanet,2018-06-28T20:20:24Z,2022-06-12T15:50:57Z,2575,3408,529
justmarkham/scikit-learn-videos,2015-04-06T02:08:42Z,2022-06-12T21:06:22Z,1587,3381,2462
KaiyangZhou/deep-person-reid,2018-03-11T21:14:39Z,2022-06-11T10:21:29Z,9776,3370,971
robmarkcole/satellite-image-deep-learning,2018-04-16T08:42:09Z,2022-06-12T20:34:31Z,17159,3360,753
iterative/cml,2020-02-26T07:33:41Z,2022-06-12T11:16:34Z,17466,3330,246
r0f1/datascience,2018-11-22T09:21:49Z,2022-06-10T14:43:28Z,705,3320,566
microsoft/SynapseML,2017-06-05T08:23:44Z,2022-06-11T02:21:14Z,64029,3317,677
tensorflow/datasets,2018-09-10T21:27:22Z,2022-06-12T20:12:18Z,976159,3296,1271
Azure/MachineLearningNotebooks,2018-08-17T17:29:14Z,2022-06-11T20:23:10Z,77655,3290,2177
makcedward/nlpaug,2019-03-21T03:00:17Z,2022-06-11T15:10:52Z,3817,3290,372
podgorskiy/ALAE,2019-03-12T18:31:50Z,2022-06-06T01:05:40Z,213041,3281,546
gopherdata/gophernotes,2016-01-22T19:22:16Z,2022-06-12T03:36:24Z,21184,3280,233
pliang279/awesome-multimodal-ml,2019-05-27T23:03:48Z,2022-06-12T11:39:24Z,422,3266,600
feast-dev/feast,2018-12-10T07:20:15Z,2022-06-12T11:13:21Z,78151,3259,580
olivia-ai/olivia,2018-06-05T18:19:31Z,2022-06-12T17:25:08Z,31290,3235,329
allegroai/clearml,2019-06-10T08:18:32Z,2022-06-11T23:52:49Z,31391,3225,446
microsoft/tensorwatch,2019-05-15T08:29:34Z,2022-06-02T03:43:20Z,22242,3215,355
rasbt/python-machine-learning-book-3rd-edition,2019-06-07T04:19:59Z,2022-06-12T18:21:09Z,167001,3210,1431
SeldonIO/seldon-core,2017-12-20T14:51:54Z,2022-06-12T18:45:34Z,219110,3205,672
bytedance/byteps,2019-06-25T07:00:13Z,2022-06-10T16:55:43Z,5418,3193,457
chiphuyen/python-is-cool,2019-10-21T14:21:10Z,2022-06-12T14:32:19Z,55,3172,503
ThoughtfulDev/EagleEye,2018-02-17T13:58:57Z,2022-06-12T15:16:07Z,173,3169,466
vijishmadhavan/ArtLine,2020-11-23T11:11:19Z,2022-06-11T22:35:51Z,364,3159,328
fastai/course-nlp,2019-05-14T20:39:05Z,2022-06-11T14:10:54Z,17096,3136,1405
tensorflow/hub,2018-03-12T07:55:42Z,2022-06-09T01:40:10Z,13389,3133,1654
alibaba/Alink,2018-09-30T06:36:11Z,2022-06-12T13:21:56Z,13498,3123,736
TarrySingh/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,2017-07-13T19:46:01Z,2022-06-12T21:42:15Z,1810867,3120,1525
handong1587/handong1587.github.io,2015-08-15T08:49:23Z,2022-06-03T08:58:13Z,178016,3109,1030
polyaxon/polyaxon,2016-12-26T12:48:47Z,2022-06-10T08:36:00Z,126367,3101,304
sbrugman/deep-learning-papers,2016-10-29T15:59:13Z,2022-06-11T22:45:13Z,64787,3073,417
uber/causalml,2019-07-09T02:08:58Z,2022-06-12T04:27:24Z,35773,3065,500
lucidrains/stylegan2-pytorch,2020-01-09T18:23:31Z,2022-06-12T17:37:01Z,5156,3044,510
Trusted-AI/adversarial-robustness-toolbox,2018-03-15T14:40:43Z,2022-06-12T19:15:26Z,193067,3037,834
migueldeicaza/TensorFlowSharp,2017-01-16T04:18:28Z,2022-06-05T12:28:15Z,8583,3037,575
orchest/orchest,2020-05-21T17:33:05Z,2022-06-12T07:36:28Z,20208,3020,168
guillaume-chevalier/LSTM-Human-Activity-Recognition,2016-05-18T02:00:21Z,2022-06-10T00:30:28Z,1606,3011,901
aksnzhy/xlearn,2017-06-10T08:09:31Z,2022-06-10T16:36:20Z,11184,3002,532
hudson-and-thames/mlfinlab,2019-02-13T16:57:25Z,2022-06-12T10:28:05Z,642,2988,932
nidhaloff/igel,2020-08-27T20:54:59Z,2022-06-12T12:00:48Z,19847,2984,152
rlcode/reinforcement-learning,2017-01-13T09:30:09Z,2022-06-12T12:35:35Z,63086,2968,711
wzhe06/Reco-papers,2018-05-29T17:29:04Z,2022-06-12T10:08:36Z,177084,2957,760
catalyst-team/catalyst,2018-08-20T07:56:13Z,2022-06-11T17:05:49Z,54739,2943,365
DeepGraphLearning/LiteratureDL4Graph,2019-06-20T06:38:05Z,2022-06-11T18:32:21Z,191,2937,576
PAIR-code/lit,2020-07-28T13:07:26Z,2022-06-11T12:04:28Z,99421,2937,308
raghakot/keras-vis,2016-11-11T23:27:34Z,2022-06-11T09:31:30Z,153803,2933,652
jtablesaw/tablesaw,2016-01-01T14:58:28Z,2022-06-10T02:17:12Z,67189,2926,578
Sophia-11/Machine-Learning-Notes,2019-09-20T05:06:57Z,2022-06-11T16:56:38Z,67207,2919,699
jmschrei/pomegranate,2014-11-24T18:36:58Z,2022-06-10T21:10:41Z,52899,2913,537
ZhaoJ9014/face.evoLVe,2019-01-04T02:22:17Z,2022-06-12T02:44:57Z,8402,2912,707
microsoft/hummingbird,2020-03-12T20:27:03Z,2022-06-12T18:28:13Z,12662,2896,226
shogun-toolbox/shogun,2011-04-01T10:44:32Z,2022-06-10T19:54:38Z,74478,2883,1060
easy-tensorflow/easy-tensorflow,2017-11-30T20:02:40Z,2022-05-23T23:25:20Z,20714,2871,373
kubeflow/pipelines,2018-05-12T00:31:47Z,2022-06-12T17:18:22Z,314155,2860,1253
deepmind/dm_control,2017-12-29T18:13:15Z,2022-06-12T15:02:36Z,79549,2834,524
benfred/implicit,2016-04-17T03:45:23Z,2022-06-12T17:55:50Z,7642,2804,544
jisungk/deepjazz,2016-04-02T01:00:05Z,2022-06-12T07:15:36Z,12222,2797,433
graykode/nlp-roadmap,2019-09-19T07:47:34Z,2022-06-11T12:38:10Z,2737,2789,489
horance-liu/tensorflow-internals,2018-06-30T02:50:29Z,2022-06-09T11:43:02Z,106970,2786,576
weld-project/weld,2016-06-13T05:00:24Z,2022-06-12T00:45:45Z,3015,2783,252
rapidsai/cuml,2018-10-11T15:45:35Z,2022-06-10T08:55:35Z,154246,2773,410
microsoft/DMTK,2015-11-08T03:32:50Z,2022-05-20T03:08:15Z,17,2762,588
louisfb01/start-machine-learning,2020-09-24T11:48:46Z,2022-06-12T11:21:00Z,88,2761,365
thuquant/awesome-quant,2016-05-10T14:42:34Z,2022-06-12T14:56:56Z,82,2760,758
mit-nlp/MITIE,2014-04-01T22:47:53Z,2022-06-11T03:40:50Z,10951,2759,539
chrieke/awesome-satellite-imagery-datasets,2018-05-01T22:13:17Z,2022-06-12T21:06:15Z,1823,2753,546
awslabs/gluon-ts,2019-05-15T17:17:29Z,2022-06-12T15:54:13Z,6787,2751,577
maciejkula/spotlight,2017-06-25T18:52:19Z,2022-06-12T16:49:46Z,9222,2742,407
apple/coremltools,2017-06-30T07:39:02Z,2022-06-12T22:02:50Z,34420,2739,429
rasbt/deep-learning-book,2016-12-18T07:15:40Z,2022-06-11T04:27:45Z,11676,2724,763
dair-ai/ML-Course-Notes,2022-03-17T11:18:50Z,2022-06-12T20:05:28Z,57,2715,369
louisfb01/best_AI_papers_2021,2021-11-06T16:55:30Z,2022-06-12T07:12:37Z,444,2712,223
POSTECH-CVLab/PyTorch-StudioGAN,2020-06-19T04:09:13Z,2022-06-12T15:25:05Z,24892,2709,251
adambielski/siamese-triplet,2018-03-06T22:25:41Z,2022-06-12T05:43:24Z,12913,2691,584
Nyandwi/machine_learning_complete,2021-09-25T11:02:35Z,2022-06-12T16:20:49Z,161058,2681,345
heavyai/heavydb,2017-05-07T15:07:56Z,2022-06-08T11:27:37Z,443173,2674,419
MLEveryday/practicalAI-cn,2018-12-11T09:40:16Z,2022-06-12T02:29:36Z,1291,2652,669
keithito/tacotron,2017-07-08T17:03:31Z,2022-06-10T09:05:32Z,115,2651,940
pytorch/serve,2019-10-03T03:17:43Z,2022-06-12T21:37:33Z,54437,2648,535
ml-tooling/opyrator,2021-04-06T08:09:06Z,2022-06-11T02:45:48Z,2594,2633,124
cloud-annotations/cloud-annotations,2019-01-29T14:52:41Z,2022-06-10T06:55:27Z,106419,2623,471
jphall663/awesome-machine-learning-interpretability,2018-06-21T14:26:51Z,2022-06-11T09:59:16Z,2305,2608,477
ml-tooling/ml-workspace,2019-05-27T16:55:15Z,2022-06-10T15:21:32Z,13060,2583,346
khuyentran1401/Data-science,2020-07-17T19:25:27Z,2022-06-10T22:01:13Z,129960,2581,694
osmr/imgclsmob,2018-07-09T12:57:46Z,2022-06-08T11:27:40Z,21367,2575,523
salesforce/Merlion,2021-07-28T15:30:56Z,2022-06-12T16:47:09Z,92102,2569,207
deepjavalibrary/djl,2019-10-29T22:38:54Z,2022-06-12T14:39:36Z,31951,2567,420
robi56/Deep-Learning-for-Recommendation-Systems,2017-05-08T11:24:34Z,2022-06-10T20:00:47Z,31,2559,695
TeamHG-Memex/eli5,2016-09-15T01:04:57Z,2022-06-12T01:31:13Z,37429,2545,328
dair-ai/Mathematics-for-ML,2022-05-21T11:24:15Z,2022-06-12T22:03:49Z,14,2545,152
huggingface/neuralcoref,2017-07-03T13:04:16Z,2022-06-11T02:03:23Z,69454,2543,441
explosion/thinc,2014-10-16T16:34:59Z,2022-06-12T05:17:25Z,9963,2536,253
bfortuner/ml-glossary,2017-04-20T16:05:19Z,2022-06-12T19:05:37Z,7721,2536,658
aimhubio/aim,2019-05-31T18:25:07Z,2022-06-12T09:02:52Z,53484,2520,151
replicate/cog,2021-02-26T23:43:09Z,2022-06-12T21:54:16Z,1389,2513,76
google/deepvariant,2017-11-23T01:56:22Z,2022-06-12T21:27:34Z,306033,2507,634
jbesomi/texthero,2020-04-06T15:16:05Z,2022-06-12T13:20:31Z,23190,2507,213
Cartucho/mAP,2018-03-08T11:24:23Z,2022-06-10T09:26:25Z,15081,2496,821
tensorflow/ranking,2018-12-03T20:48:57Z,2022-06-09T03:02:41Z,6166,2495,436
MaartenGr/BERTopic,2020-09-22T14:19:29Z,2022-06-12T18:55:27Z,8787,2495,346
RedstoneWill/HsuanTienLin_MachineLearning,2018-05-05T05:42:53Z,2022-06-12T10:23:04Z,216997,2483,836
semi-technologies/weaviate,2016-03-30T15:03:17Z,2022-06-11T20:29:58Z,799168,2480,142
girls-in-ai/Girls-In-AI,2019-01-03T08:03:13Z,2022-06-10T14:58:36Z,40794,2460,436
montanaflynn/stats,2014-12-16T03:25:19Z,2022-06-12T09:45:59Z,278,2440,157
huggingface/knockknock,2019-03-20T13:08:55Z,2022-06-10T12:33:11Z,75,2433,210
mars-project/mars,2018-12-05T16:04:03Z,2022-06-12T04:22:41Z,37498,2431,306
ploomber/ploomber,2020-01-20T20:13:06Z,2022-06-12T17:26:41Z,6587,2430,162
volcano-sh/volcano,2019-03-14T09:47:29Z,2022-06-11T08:32:47Z,69310,2429,550
dmlc/gluon-nlp,2018-04-04T20:57:13Z,2022-06-10T10:33:22Z,11376,2418,536
NiuTrans/MTBook,2020-05-01T07:45:20Z,2022-06-10T08:43:18Z,92194,2410,818
stellargraph/stellargraph,2018-04-13T07:35:51Z,2022-06-12T14:00:15Z,96733,2410,367
aleju/papers,2016-02-19T22:44:27Z,2022-06-12T14:07:49Z,40247,2408,446
evidentlyai/evidently,2020-11-25T15:20:08Z,2022-06-11T19:57:26Z,102767,2407,234
zzh8829/yolov3-tf2,2019-04-03T17:57:49Z,2022-06-12T14:31:02Z,4344,2401,891
flyteorg/flyte,2019-10-21T17:40:04Z,2022-06-12T19:03:51Z,200889,2394,226
tryolabs/luminoth,2017-02-16T15:07:46Z,2022-05-10T11:08:27Z,3123,2388,411
SciSharp/TensorFlow.NET,2018-12-10T23:04:47Z,2022-06-11T16:29:58Z,379107,2385,405
tirthajyoti/Machine-Learning-with-Python,2017-07-17T03:06:13Z,2022-06-12T18:23:37Z,102411,2384,1509
unifyai/ivy,2021-01-19T08:37:25Z,2022-06-12T20:56:49Z,389084,2373,719
jolibrain/deepdetect,2015-05-22T14:45:28Z,2022-06-11T22:09:22Z,107930,2368,546
apachecn/fe4ml-zh,2018-05-17T14:05:46Z,2022-06-09T17:08:48Z,15303,2363,666
scikit-optimize/scikit-optimize,2016-03-20T21:10:54Z,2022-06-11T12:49:28Z,9423,2349,447
alexlenail/NN-SVG,2015-12-17T06:43:51Z,2022-06-12T17:58:02Z,380,2335,316
microsoft/pai,2017-09-25T11:24:51Z,2022-06-12T16:52:20Z,73539,2320,512
ybayle/awesome-deep-learning-music,2017-08-15T17:36:33Z,2022-06-11T00:56:59Z,5771,2319,329
ourownstory/neural_prophet,2020-05-04T05:12:43Z,2022-06-11T21:45:22Z,103138,2312,294
RasaHQ/rasa_core,2017-09-18T12:07:12Z,2022-06-12T05:04:15Z,1059972,2304,1046
anfederico/clairvoyant,2016-09-12T18:38:17Z,2022-06-11T14:53:19Z,10385,2302,755
BrikerMan/Kashgari,2019-01-19T01:53:28Z,2022-06-07T02:23:25Z,15043,2301,435
tradytics/eiten,2020-09-08T03:09:46Z,2022-06-12T02:21:22Z,663,2300,266
visionml/pytracking,2019-04-03T10:17:53Z,2022-06-12T11:59:57Z,2621,2290,499
asyml/texar,2017-07-22T19:02:05Z,2022-06-10T01:26:15Z,14241,2288,374
microsoft/forecasting,2019-02-06T18:42:18Z,2022-06-10T02:30:37Z,28288,2281,392
alibaba/pipcook,2019-12-05T02:40:40Z,2022-06-12T09:47:55Z,17052,2271,197
mljs/ml,2014-10-27T13:04:38Z,2022-06-11T10:51:58Z,8738,2270,218
bethgelab/foolbox,2017-06-14T13:05:48Z,2022-06-12T14:42:16Z,11126,2249,402
yunabe/lgo,2017-10-05T15:29:10Z,2022-06-10T12:35:17Z,992,2239,113
ARM-software/ComputeLibrary,2017-03-10T14:51:43Z,2022-06-11T08:34:05Z,459737,2236,678
microsoft/EconML,2018-04-30T21:02:52Z,2022-06-12T08:43:46Z,65983,2232,490
rob-med/awesome-TS-anomaly-detection,2017-12-19T15:05:20Z,2022-06-11T10:49:25Z,116,2232,392
luspr/awesome-ml-courses,2020-05-08T20:41:59Z,2022-06-11T14:51:55Z,35,2222,247
google/tangent,2017-10-26T20:02:46Z,2022-06-07T06:05:50Z,25786,2220,396
NeuromatchAcademy/course-content,2020-05-10T19:09:05Z,2022-06-09T14:18:34Z,2572785,2216,874
reiinakano/scikit-plot,2017-02-04T06:22:59Z,2022-06-10T14:54:48Z,3119,2209,262
neuml/txtai,2020-08-09T19:14:59Z,2022-06-10T18:04:30Z,20766,2200,214
seungeunrho/minimalRL,2019-04-23T10:57:44Z,2022-06-11T13:02:19Z,71,2192,336
samjabrahams/tensorflow-on-raspberry-pi,2016-03-12T06:26:47Z,2022-06-04T09:40:43Z,275720,2185,513
scikit-learn-contrib/hdbscan,2015-04-22T13:32:37Z,2022-06-11T11:10:45Z,26687,2180,406
hora-search/hora,2021-05-15T07:46:32Z,2022-06-09T10:19:55Z,15017,2176,47
louisfb01/Best_AI_paper_2020,2020-12-20T17:27:00Z,2022-06-10T03:27:53Z,189,2167,242
dragen1860/Deep-Learning-with-PyTorch-Tutorials,2018-11-26T04:21:46Z,2022-06-12T16:44:33Z,91436,2166,1134
PizzaDeDados/datascience-pizza,2017-07-18T20:37:32Z,2022-06-12T17:28:17Z,882,2162,481
weslynn/AlphaTree-graphic-deep-neural-network,2018-03-06T08:37:27Z,2022-06-11T14:15:30Z,94331,2155,534
tslearn-team/tslearn,2017-05-04T13:08:13Z,2022-06-12T15:29:41Z,7424,2153,281
dair-ai/ML-Notebooks,2022-03-26T21:39:49Z,2022-06-12T20:17:33Z,207,2151,279
AakashKumarNain/annotated_research_papers,2020-07-19T19:05:19Z,2022-06-12T03:22:00Z,184697,2145,226
Hedgehog-Computing/hedgehog-lab,2020-05-13T05:40:18Z,2022-06-12T18:42:24Z,19560,2138,138
ShuaiW/data-science-question-answer,2018-01-15T01:39:56Z,2022-06-12T18:37:59Z,2390,2135,622
libffcv/ffcv,2021-10-13T17:03:39Z,2022-06-12T17:01:06Z,3501,2119,114
nhivp/Awesome-Embedded,2017-09-24T02:23:36Z,2022-06-11T14:34:17Z,158,2118,477
parrt/dtreeviz,2018-08-13T21:45:15Z,2022-06-12T17:43:49Z,143610,2114,272
BayesWitnesses/m2cgen,2019-01-13T02:32:55Z,2022-06-09T15:50:53Z,1272,2108,193
kaonashi-tyc/zi2zi,2017-02-17T23:18:04Z,2022-06-10T03:26:59Z,46887,2108,451
trekhleb/nano-neuron,2019-12-05T07:54:21Z,2022-06-10T18:12:58Z,293,2099,110
zenml-io/zenml,2020-11-19T09:25:46Z,2022-06-12T18:26:14Z,49261,2094,162
timeseriesAI/tsai,2019-09-30T09:18:31Z,2022-06-12T18:55:07Z,961801,2094,314
protontypes/awesome-robotic-tooling,2019-10-24T15:32:17Z,2022-06-12T03:35:52Z,2577,2079,369
PetrochukM/PyTorch-NLP,2018-02-25T05:00:36Z,2022-06-05T14:59:50Z,13156,2076,255
EliteQuant/EliteQuant,2017-11-21T05:28:40Z,2022-06-09T21:04:33Z,1256,2064,475
fbdesignpro/sweetviz,2020-05-09T15:25:47Z,2022-06-12T20:15:16Z,16791,2057,205
hoya012/awesome-anomaly-detection,2018-08-29T06:33:25Z,2022-06-11T14:44:47Z,2407,2053,462
ajbrock/Neural-Photo-Editor,2016-09-21T14:53:36Z,2022-05-24T07:21:51Z,13104,2048,203
krishnakumarsekar/awesome-quantum-machine-learning,2017-04-26T11:03:50Z,2022-06-12T05:31:02Z,10011,2044,584
explosion/spacy-course,2019-04-15T11:17:06Z,2022-06-05T02:49:19Z,9422,2037,342
paperswithcode/releasing-research-code,2020-03-05T14:47:45Z,2022-06-12T09:39:21Z,574,2036,615
zvtvz/zvt,2019-04-04T08:06:57Z,2022-06-12T08:51:48Z,43671,2026,665
jdb78/pytorch-forecasting,2020-07-03T13:05:24Z,2022-06-12T21:49:37Z,30604,2011,326
ethen8181/machine-learning,2015-07-24T03:35:49Z,2022-06-09T16:21:06Z,437401,2007,498
extreme-assistant/ICCV2021-Paper-Code-Interpretation,2019-04-01T04:19:27Z,2022-06-12T15:26:05Z,1383,1991,1132
benedekrozemberczki/awesome-decision-tree-papers,2019-05-11T18:14:03Z,2022-06-12T20:55:01Z,307,1983,316
deeplearningturkiye/turkce-yapay-zeka-kaynaklari,2017-10-17T20:19:31Z,2022-06-11T18:55:35Z,235,1982,396
QData/TextAttack,2019-10-15T00:51:44Z,2022-06-10T13:18:19Z,25890,1980,252
benedekrozemberczki/awesome-community-detection,2018-10-10T15:17:30Z,2022-06-12T01:31:34Z,2366,1978,338
polakowo/vectorbt,2017-11-14T11:56:32Z,2022-06-12T13:44:58Z,743270,1977,340
khanhnamle1994/cracking-the-data-science-interview,2018-08-09T07:57:57Z,2022-06-12T16:01:39Z,246883,1968,616
hardikkamboj/An-Introduction-to-Statistical-Learning,2020-06-13T05:18:05Z,2022-06-12T09:48:09Z,20564,1968,533
bgshih/crnn,2015-12-19T07:14:57Z,2022-06-09T10:53:26Z,75,1955,549
lakshayg/tensorflow-build-archived,2017-05-18T02:21:47Z,2022-06-12T03:14:14Z,222587,1951,237
mne-tools/mne-python,2011-01-28T03:31:13Z,2022-06-12T15:22:55Z,147018,1950,1061
deepmind/dm-haiku,2020-02-18T07:14:02Z,2022-06-12T21:06:23Z,2003,1945,155
ICT-BDA/EasyML,2017-04-07T05:13:26Z,2022-06-06T18:38:14Z,15604,1944,455
dipanjanS/practical-machine-learning-with-python,2017-07-29T10:31:36Z,2022-06-12T18:24:30Z,121254,1939,1558
google-research-datasets/Objectron,2020-10-19T21:58:41Z,2022-06-11T06:16:10Z,40804,1932,241
mljar/mljar-supervised,2018-11-05T12:58:04Z,2022-06-12T21:25:06Z,8772,1922,273
Palashio/libra,2020-04-10T23:25:55Z,2022-06-05T23:17:03Z,190631,1920,114
tirthajyoti/Data-science-best-resources,2018-12-27T03:51:46Z,2022-06-11T03:26:01Z,9286,1914,753
google/sling,2017-04-25T10:47:40Z,2022-05-30T14:09:03Z,5425,1908,281
WongKinYiu/ScaledYOLOv4,2020-11-14T03:01:11Z,2022-06-12T16:56:58Z,492,1907,520
thunlp/PromptPapers,2021-06-05T07:21:58Z,2022-06-12T17:13:52Z,166,1901,182
microsoft/FLAML,2020-08-20T20:46:11Z,2022-06-11T14:52:40Z,40657,1896,273
eugeneyan/ml-surveys,2020-08-08T01:35:06Z,2022-06-12T17:58:13Z,50,1889,220
endymecy/spark-ml-source-analysis,2016-01-08T13:39:03Z,2022-06-06T03:36:20Z,13831,1888,833
yanshengjia/ml-road,2017-10-31T04:36:37Z,2022-06-10T08:31:16Z,360300,1888,801
dangkhoasdc/awesome-ai-residency,2018-04-17T04:47:40Z,2022-06-12T06:33:36Z,72,1887,199
orico/www.mlcompendium.com,2021-08-09T03:50:41Z,2022-06-11T16:53:59Z,7511,1875,210
tobegit3hub/tensorflow_template_application,2016-07-18T10:54:20Z,2022-06-07T09:17:57Z,46954,1865,734
unsplash/datasets,2020-06-23T19:58:19Z,2022-06-09T23:17:43Z,72,1864,81
